filename,lpips,ssim
Bottle_2015_01483,0.6850684285163879,0.22297289495950853
Bottle_2015_01487,0.5827434062957764,0.2659873209817793
Bottle_2015_01497,0.8137312531471252,0.21558837565476419
Bottle_2015_01499,0.6616249084472656,0.2215022387798696
Bottle_2015_01512,0.6288895010948181,0.1653571890181512
Bottle_2015_01519,0.7673139572143555,0.07141011941876206
Bottle_2015_01520,0.5991961359977722,0.13065075096535864
Bottle_2015_01523,0.8062297701835632,0.06570125136231267
Bottle_2015_01524,0.6310739517211914,0.2790361568160344
Bottle_2015_01538,0.7282377481460571,0.1457954358323308
Bottle_2015_01551,0.6782960295677185,0.18054034221932838
Bottle_2015_01577,0.7215656042098999,0.027491430691072585
Bottle_2015_01583,0.7729587554931641,0.2806746764826515
Bottle_2015_01586,0.739786684513092,0.013918269196211962
Bottle_2015_01589,0.6518375277519226,0.19670373769205687
Bottle_2015_01590,0.8776500225067139,0.0501778211108573
Bottle_2015_01592,0.8261467218399048,0.15351862334142805
Bottle_2015_01597,0.7465636730194092,0.04834503534142226
Bottle_2015_01624,0.8445277810096741,0.01554243937875184
Bottle_2015_01636,0.48305144906044006,0.04812141173546224
Bottle_2015_01658,0.6111980080604553,0.3969837128234448
Bottle_2015_01660,0.602230429649353,0.13045528114949775
Bottle_2015_01673,0.7168537974357605,0.19404750456496256
Bottle_2015_01762,0.6477875709533691,0.13812573171676126
Bottle_2015_01793,0.7307308912277222,0.1422457375314222
Bottle_2015_01828,0.7024456262588501,0.11755112453403006
Bottle_2015_01839,0.6049472093582153,0.3269688042145061
Bottle_2015_01842,0.6753728985786438,0.2390150972086366
Bottle_2015_01850,0.7022775411605835,0.19357453870318098
Bottle_2015_01854,0.7519161105155945,0.11784329405355048
Bottle_2015_01869,0.7468619346618652,0.3433740054841891
Bottle_2015_01877,0.7440445423126221,0.1649367679341365
Bus_2015_01881,0.758842945098877,0.23670437276213518
Bus_2015_01893,0.730803906917572,0.12091918569272965
Bus_2015_01895,0.6804127097129822,0.06596810556592025
Bus_2015_01896,0.7354951500892639,0.04879229738649731
Bus_2015_01912,0.63829106092453,0.16716481959264087
Bus_2015_01930,0.6674796938896179,0.19911843445728408
Bus_2015_01939,0.6103697419166565,0.12026561606584575
Bus_2015_01948,0.7367043495178223,0.2699741823048642
Bus_2015_01952,0.7939776182174683,0.12257716800102993
Bus_2015_01953,0.7492036819458008,0.24846737646578276
Bus_2015_01979,0.8704984188079834,0.08250275843266243
Bus_2015_01987,0.7108151912689209,0.043436925445826786
Bus_2015_01998,0.7289312481880188,0.1417331644795333
Bus_2015_02000,0.8361690640449524,0.03114606143200387
Bus_2015_02006,0.7135012745857239,0.18556340759886022
Bus_2015_02037,0.6248937845230103,0.1384284099882799
Bus_2015_02055,0.7090139985084534,0.1266873673712366
Bus_2015_02070,0.7435720562934875,0.1065959656454845
Bus_2015_02096,0.6456758975982666,0.1345205726572742
Bus_2015_02098,0.5633811354637146,0.2112985254092751
Bus_2015_02107,0.8097625970840454,0.05295854957199525
Bus_2015_02156,0.6990192532539368,0.07842641706124541
Bus_2015_02175,0.658804178237915,0.1322988191394195
Bus_2015_02199,0.6576082110404968,0.1564130131162861
Bus_2015_02202,0.6082713603973389,0.07605974896103891
Bus_2015_02205,0.6427268385887146,0.07395370466440342
Bus_2015_02212,0.6513068675994873,0.13890206169993013
Bus_2015_02246,0.6792763471603394,0.25204587617778346
Bus_2015_02247,0.6554673314094543,0.20204555934193671
Bus_2015_02283,0.6918589472770691,0.1754444125606316
